x t u
0 0.1875 0
0.0078125 0.1875 0.0265348
0.015625 0.1875 0.0530537
0.0234375 0.179688 0.0793266
0.03125 0.179688 0.105694
0.0234375 0.1875 0.0795406
0.03125 0.1875 0.10598
0.0390625 0.164062 0.131272
0.046875 0.164062 0.157352
0.0390625 0.171875 0.131638
0.046875 0.171875 0.157791
0.0546875 0.164062 0.183338
0.0625 0.164062 0.209213
0.0546875 0.171875 0.183849
0.0625 0.171875 0.209796
0.0390625 0.179688 0.131999
0.046875 0.179688 0.158223
0.0390625 0.1875 0.132355
0.046875 0.1875 0.15865
0.0546875 0.179688 0.184353
0.0625 0.179688 0.210371
0.0546875 0.1875 0.18485
0.0625 0.1875 0.210939
0.0703125 0.132812 0.232255
0.078125 0.132812 0.257567
0.0703125 0.140625 0.232945
0.078125 0.140625 0.258333
0.0859375 0.132812 0.282725
0.09375 0.132812 0.307712
0.0859375 0.140625 0.283565
0.09375 0.140625 0.308626
0.0703125 0.148438 0.233626
0.078125 0.148438 0.259088
0.0703125 0.15625 0.234298
0.078125 0.15625 0.259833
0.0859375 0.148438 0.284394
0.09375 0.148438 0.309528
0.0859375 0.15625 0.285212
0.09375 0.15625 0.310419
0.101562 0.132812 0.332513
0.109375 0.132812 0.357115
0.101562 0.140625 0.333501
0.109375 0.140625 0.358176
0.117188 0.132812 0.381501
0.125 0.132812 0.405658
0.117188 0.140625 0.382634
0.125 0.140625 0.406863
0.101562 0.148438 0.334476
0.109375 0.148438 0.359223
0.101562 0.15625 0.335439
0.109375 0.15625 0.360257
0.117188 0.148438 0.383753
0.125 0.148438 0.408052
0.117188 0.15625 0.384858
0.125 0.15625 0.409227
0.0703125 0.164062 0.234962
0.078125 0.164062 0.260569
0.0703125 0.171875 0.235616
0.078125 0.171875 0.261295
0.0859375 0.164062 0.28602
0.09375 0.164062 0.311298
0.0859375 0.171875 0.286817
0.09375 0.171875 0.312166
0.0703125 0.179688 0.236263
0.078125 0.179688 0.262012
0.0703125 0.1875 0.2369
