x y t u
0.03125 0 0.1875 0.539698
0 0.03125 0.1875 0.542172
0.03125 0.03125 0.1875 0.55304
0.0625 0 0.1875 0.549877
0.0625 0.03125 0.1875 0.563732
0 0.0625 0.1875 0.555039
0.03125 0.0625 0.1875 0.566432
0.0625 0.0625 0.1875 0.577652
0.09375 0 0.15625 0.556094
0.09375 0.03125 0.15625 0.569798
0.125 0 0.15625 0.56652
0.125 0.03125 0.15625 0.580748
0.09375 0.0625 0.15625 0.583529
0.125 0.0625 0.15625 0.595018
0.09375 0 0.1875 0.559835
0.09375 0.03125 0.1875 0.574201
0.125 0 0.1875 0.569525
0.125 0.03125 0.1875 0.584399
0.09375 0.0625 0.1875 0.588649
0.125 0.0625 0.1875 0.59937
0 0.09375 0.15625 0.560122
0.03125 0.09375 0.15625 0.572611
0.0625 0.09375 0.15625 0.585001
0 0.125 0.15625 0.572109
0.03125 0.125 0.15625 0.585143
0.0625 0.125 0.15625 0.598086
0 0.09375 0.1875 0.5679
0.03125 0.09375 0.1875 0.579832
0.0625 0.09375 0.1875 0.591594
0 0.125 0.1875 0.580712
0.03125 0.125 0.1875 0.593194
0.0625 0.125 0.1875 0.605508
0.09375 0.09375 0.15625 0.597242
0.125 0.09375 0.15625 0.609282
0.09375 0.125 0.15625 0.610887
0.125 0.125 0.15625 0.623488
0.09375 0.09375 0.1875 0.603132
0.125 0.09375 0.1875 0.614391
0.09375 0.125 0.1875 0.6176
0.125 0.125 0.1875 0.629411
0 0 0.21875 0.538657
0.03125 0 0.21875 0.548502
0 0.03125 0.21875 0.552221
0.03125 0.03125 0.21875 0.56257
0.0625 0 0.21875 0.558105
0.0625 0.03125 0.21875 0.572674
0 0.0625 0.21875 0.565859
0.03125 0.0625 0.21875 0.576729
0.0625 0.0625 0.21875 0.587352
0 0 0.25 0.551724
0.03125 0 0.25 0.561096
0 0.03125 0.25 0.566059
0.03125 0.03125 0.25 0.575926
0.0625 0 0.25 0.570156
0.0625 0.03125 0.25 0.585473
0 0.0625 0.25 0.580499
0.03125 0.0625 0.25 0.590879
0.0625 0.0625 0.25 0.600932
0.09375 0 0.21875 0.56742
0.09375 0.03125 0.21875 0.582485
0.125 0 0.21875 0.576402
0.125 0.03125 0.21875 0.591953
0.09375 0.0625 0.21875 0.597676
0.125 0.0625 0.21875 0.607647
0.09375 0 0.25 0.578858
0.09375 0.03125 0.25 0.594652
0.125 0 0.25 0.587156
0.125 0.03125 0.25 0.603411
0.09375 0.0625 0.25 0.610604
0.125 0.0625 0.25 0.619842
0 0.09375 0.21875 0.579531
0.03125 0.09375 0.21875 0.590937
0.0625 0.09375 0.21875 0.602094
0 0.125 0.21875 0.593192
0.03125 0.125 0.21875 0.605147
0.0625 0.125 0.21875 0.616851
0 0.09375 0.25 0.595003
0.03125 0.09375 0.25 0.605912
0.0625 0.09375 0.25 0.616486
0 0.125 0.25 0.609524
0.03125 0.125 0.25 0.620976
0.0625 0.125 0.25 0.632087
0.09375 0.09375 0.21875 0.612946
0.125 0.09375 0.21875 0.623437
0.09375 0.125 0.21875 0.628246
0.125 0.125 0.21875 0.639272
0.09375 0.09375 0.25 0.626669
0.125 0.09375 0.25 0.636403
0.09375 0.125 0.25 0.642796
0.125 0.125 0.25 0.653041
0.15625 0 0.15625 0.576695
0.15625 0.03125 0.15625 0.591443
0.1875 0 0.15625 0.586568
0.1875 0.03125 0.15625 0.601832
0.15625 0.0625 0.15625 0.606249
0.1875 0.0625 0.15625 0.617169
0.15625 0 0.1875 0.578902
0.15625 0.03125 0.1875 0.594275
0.1875 0 0.1875 0.587917
0.1875 0.03125 0.1875 0.603778
0.15625 0.0625 0.1875 0.609762
0.1875 0.0625 0.1875 0.61977
0.21875 0 0.15625 0.596091
0.21875 0.03125 0.15625 0.61186
0.25 0 0.15625 0.605212
0.25 0.03125 0.15625 0.621473
0.21875 0.0625 0.15625 0.627719
0.25 0.0625 0.15625 0.63784
0.21875 0 0.1875 0.596521
0.21875 0.03125 0.1875 0.612856
0.25 0 0.1875 0.604666
0.25 0.03125 0.1875 0.621456
0.21875 0.0625 0.1875 0.629338
0.25 0.0625 0.1875 0.63841
0.15625 0.09375 0.15625 0.621063
0.1875 0.09375 0.15625 0.632527
0.15625 0.125 0.15625 0.63583
0.1875 0.125 0.15625 0.647851
0.15625 0.09375 0.1875 0.625315
0.1875 0.09375 0.1875 0.635844
0.15625 0.125 0.1875 0.64088
0.1875 0.125 0.1875 0.651944
0.21875 0.09375 0.15625 0.643613
0.25 0.09375 0.15625 0.654257
0.21875 0.125 0.15625 0.659484
0.25 0.125 0.15625 0.670664
0.21875 0.09375 0.1875 0.645918
0.25 0.09375 0.1875 0.655477
0.21875 0.125 0.1875 0.662539
0.25 0.125 0.1875 0.6726
0.15625 0 0.21875 0.585003
0.15625 0.03125 0.21875 0.601028
0.1875 0 0.21875 0.593178
0.1875 0.03125 0.21875 0.609659
0.15625 0.0625 0.21875 0.617213
